id,place_id,type,product_id,device_id,keywords,lat,lng,status,create_time,update_time,create_user,update_user
"10","8a6a3fb5e67b47558b57e6fc202bf440","GEGE","GG2L03211B0200341","WTGZ03S01B0107648","北京办公室HDOS,中关村海龙大厦","39.983349","116.315445","1","2025-07-30 15:55:11","2025-10-15 13:39:11","douyongchao@yunji.ai",""
"11","8a6a3fb5e67b47558b57e6fc202bf440","GEGE","GG2L03211C0300439","WTGZ03S11C0307766","北京办公室HDOS,锦秋国际,西土城地图站","39.983357","116.3153","1","2025-07-30 15:56:57","2025-10-28 16:06:07","douyongchao@yunji.ai",""
"12","8a6a3fb5e67b47558b57e6fc202bf440","NVWA","HOTYC04SZ202109250389112","HOTYC04SZ202109250389112","锦秋国际大厦b","39.975886","116.348754","1","2025-07-30 16:18:12","2025-07-30 16:18:12","douyongchao@yunji.ai",""
"13","c2d6a0f2df574ea7b1867fe9c5ded23a","GEGE","GGG20321492C11642","WTG203B1492C22549","锦秋国际大厦A座","39.975849","116.348697","1","2025-08-05 17:38:50","2025-08-05 17:38:50","liuzhenguo@yunji.ai",""
"14","6df2401e543f45c99fafec3e65add0b5","GEGE","GGG20321471S10693","WTG203B1471S21426","汇隆商务中心北塔","22.609669","114.034335","1","2025-08-18 18:32:21","2025-08-18 18:32:21","zhangwenming@yunji.ai",""
"15","4ad2b2ced128456d8674c1b8f51465b3","GEGE","GGG50321571E20399","WTG503B1571E33162","沈阳大街东,南京路南大都会新天地一期住宅 A栋1楼6号,雪鲨民宿","45.886439","126.554253","1","2025-09-04 17:20:14","2025-09-04 17:20:14","liuzhenguo@yunji.ai",""
"16","bc0c3ef785a9413badf33bebf59663c1","GEGE","GGG50321510716439","WTG503B1510727939","瑞安国际大酒店,瑞安,万松东路555号","27.776498","120.65763","1","2025-09-05 13:08:15","2025-09-05 13:08:15","lisiyu@yunji.ai",""
"17","bd005cd12f244d008bc4849a8e1c7154","GEGE","GGG50321530L17741","WTG503B1530L29578","沈阳新都绿城喜来登酒店,浑南区沈中大街101-1号沈阳新都绿城喜来登酒店","41.678199","123.468519","1","2025-09-07 22:21:08","2025-09-07 22:21:08","zhongjie@yunji.ai",""
"18","bd005cd12f244d008bc4849a8e1c7154","GEGE","GGG50321530L17682","WTG503B1530L29574","沈阳新都绿城喜来登酒店,浑南区沈中大街101-1号沈阳新都绿城喜来登酒店","41.678199","123.468519","1","2025-09-07 22:21:52","2025-09-07 22:21:52","zhongjie@yunji.ai",""
"19","ad5a61e0e79244f6a56e354f0f86135d","GEGE","GGG50321581Q21458","WTG503B1581Q34120","万豪行政公寓","30.281055","120.003318","1","2025-09-08 14:39:16","2025-09-08 14:39:16","yimi",""
"20","92e86a459377428c9e5998a5cde79666","GEGE","GGG403Y14C3C14615","WTG403B14C3C26142","河源翔丰国际酒店","23.963376","114.528608","1","2025-09-09 10:38:34","2025-09-09 10:38:34","hexinsheng@yunji.ai",""
"21","92e86a459377428c9e5998a5cde79666","GEGE","GGG403Y14C3D14764","WTG403B14C3D26379","河源翔丰国际酒店","23.963376","114.528608","1","2025-09-09 10:38:55","2025-09-09 10:38:55","hexinsheng@yunji.ai",""
"22","c9bc855e975342f2908d77df5b4b81f0","GEGE","GGGC0321393806137","WTGC03X0393815994","全季酒店(新蚌埠路禹洲中央城店","31.902522","117.314589","1","2025-09-09 13:57:08","2025-09-09 13:57:08","lvjiapeng@yunji.ai",""
"23","c9bc855e975342f2908d77df5b4b81f0","GEGE","GGGI0321410B08055","WTGI03X0410B18243","全季酒店(新蚌埠路禹洲中央城店)","31.902522","117.314589","1","2025-09-09 13:58:30","2025-09-09 13:58:30","lvjiapeng@yunji.ai",""
"24","1119471f7fad467e9e0b202d8af82b27","GEGE","GGG50321581N21227","WTG503B1581N33946","7天优品酒店(深圳车公庙店),中国，广东，深圳，福田区，滨河大道上沙椰树村13巷1号距离上沙地铁站-A口490米","22.527615","114.030372","1","2025-09-11 17:03:50","2025-10-15 13:39:21","ludie@yunji.ai",""
"25","3261ed3383214ffabf30de65746eacac","GEGE","GGG50321571L20997","WTG503B1571L33747","杨闸环岛酒店","39.914209","116.60025","1","2025-09-13 13:59:03","2025-09-13 13:59:03","yimi",""
"26","3261ed3383214ffabf30de65746eacac","GEGE","GGG50321581P21345","WTG503B1581P34060","杨闸环岛酒店","39.914209","116.60025","1","2025-09-13 13:59:22","2025-09-13 13:59:22","yimi",""
"27","c4c3f02804b041aab5bb770c6dfc8771","GEGE","GGG50321581W21991","WTG503B1581W34846","上海虹桥国家会展中心希尔顿欢朋酒店,华漕镇盘阳路59弄7幢16号","31.21045","121.280026","1","2025-09-13 16:19:32","2025-10-15 13:39:15","yimi",""
"28","7124938dc2af4de499cd2973d2025238","GEGE","GGG50321520D17037","WTG503B1520D28592","厦门白鹭洲公园希尔顿花园酒店","24.479833","118.089425","1","2025-09-17 18:05:18","2025-09-17 18:05:18","yimi",""
"29","7124938dc2af4de499cd2973d2025238","GEGE","GGG50321520E17133","WTG503B1520E28610","厦门白鹭洲公园希尔顿花园酒店","24.479833","118.089425","1","2025-09-17 18:05:30","2025-09-17 18:05:30","yimi",""
"30","cacac3725bcd465c99a63107a643c4e7","NVWA","HOTYC03SZ202101153792749","HOTYC03SZ202101153792749","希尔顿欢朋千岛湖羡山半岛项目,浙江省杭州市淳安县羡山半岛","29.548304","119.122579","1","2025-09-23 13:51:44","2025-09-23 13:51:44","zhangwenming@yunji.ai",""
"31","cfc7a6714d0045a4a172a4a53e3ec067","GEGE","GG2L0321270K01759","WTGZ03X0270K10318","天港禧悦酒店(宁波海曙火车站店),中国，浙江，宁波，海曙区，丽园南路620号","29.857725","121.51707","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"32","56d6d9f6d9ba4eea90a30296b57de216","NVWA","HOTYC04SZ202101153683586","HOTYC04SZ202101153683586","长春艾博丽思大饭店,硅谷大街888号","44.095459","125.454995","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"33","0d8469588660420787e3e9a2faac3c1a","GEGE","GGGC0321372H04887","WTGC03X0372H14062","杭州富邦丽佳国际大酒店,浙江省杭州市临平区三曹街56号距离南苑地铁站A口920米","30.400716","120.308733","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"34","0d8469588660420787e3e9a2faac3c1a","NVWA","HOTYC04SZ202012173082566","HOTYC04SZ202012173082566","杭州富邦丽佳国际大酒店,浙江省杭州市临平区三曹街56号距离南苑地铁站A口920米","30.400716","120.308733","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"35","247899ae118e4fdea371c7df3438e9d1","NVWA","HOTYC01SZ202008140967066","HOTYC01SZ202008140967066","广州保利中心,广州市天河区临江大道5号","23.114672","113.317825","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"36","7250fd5592304790acbb8b6d5903fea5","GEGE","GGGI0321430J08509","WTGI03X0430J18728","杭州西湖国宾馆·西湖第一名园,浙江省杭州市西湖区杨公堤18号","30.236138","120.134477","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"37","247899ae118e4fdea371c7df3438e9d1","NVWA","HOTYC01SZ202008140967068","HOTYC01SZ202008140967068","广州保利中心,广州市天河区临江大道5号","23.114672","113.317825","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"38","247899ae118e4fdea371c7df3438e9d1","NVWA","HOTYC01SZ202008140967030","HOTYC01SZ202008140967030","广州保利中心,广州市天河区临江大道5号","23.114672","113.317825","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"39","b655d9e8e9b9410ba4d1088bcc718939","GEGE","GGG20321481W10848","WTG203B1481W21683","宁波瑞盛国际商务俱乐部酒店,泗门镇四海大道与河塍北路交叉口","30.171513","121.051917","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"40","247899ae118e4fdea371c7df3438e9d1","NVWA","HOTYC02SZ202011122080876","HOTYC02SZ202011122080876","广州保利中心,广州市天河区临江大道5号","23.114672","113.317825","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"41","247899ae118e4fdea371c7df3438e9d1","NVWA","HOTYC02SZ202010221780430","HOTYC02SZ202010221780430","广州保利中心,广州市天河区临江大道5号","23.114672","113.317825","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"42","30a4d1143de84b6aaf0e474fe7b677fe","NVWA","HOTYC01SZ202010081590006","HOTYC01SZ202010081590006","中汇广场-写字楼,天河区林和西路157号","23.148549","113.323372","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"43","247899ae118e4fdea371c7df3438e9d1","NVWA","HOTYC02SZ202011182281088","HOTYC02SZ202011182281088","广州保利中心,广州市天河区临江大道5号","23.114672","113.317825","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"44","30a4d1143de84b6aaf0e474fe7b677fe","NVWA","HOTYC01SZ202010081590007","HOTYC01SZ202010081590007","中汇广场-写字楼,天河区林和西路157号","23.148549","113.323372","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
"45","30a4d1143de84b6aaf0e474fe7b677fe","NVWA","HOTYC01SZ202010081590013","HOTYC01SZ202010081590013","中汇广场-写字楼,天河区林和西路157号","23.148549","113.323372","1","2025-09-23 14:28:20","2025-09-23 14:28:20","zhangwenming@yunji.ai",""
